path,compatibility,groups,faces,triangles,quads,otherFaces,missingMaterialLibraries,undefinedMaterialUses,facesWithoutTextureCoordinates,facesWithoutNormals,invalidVertexFaces,invalidTextureCoordinateFaces,invalidNormalFaces,mixedTriangleQuadGroups
BombGeneric.obj,BAKE_CANDIDATE,1,160,160,0,0,0,0,0,0,0,0,0,0
LilBoy1.obj,BAKE_CANDIDATE,1,278,278,0,0,0,0,0,0,0,0,0,0
Ring.obj,BAKE_CANDIDATE,1,256,256,0,0,0,0,0,0,0,0,0,0
Sphere.obj,BAKE_CANDIDATE,1,80,80,0,0,0,0,0,0,0,0,0,0
armor/AJR.obj,NEEDS_RENDERER_REVIEW,9,1685,1685,0,0,0,0,772,0,0,0,0,0
armor/BJ.obj,BAKE_CANDIDATE,9,730,730,0,0,0,0,0,0,0,0,0,0
armor/bismuth.obj,BAKE_CANDIDATE,8,926,926,0,0,0,0,0,0,0,0,0,0
armor/bnuuy.obj,BAKE_CANDIDATE,8,1467,1467,0,0,0,0,0,0,0,0,0,0
armor/dnt.obj,BAKE_CANDIDATE,8,754,754,0,0,0,0,0,0,0,0,0,0
armor/envsuit.obj,BAKE_CANDIDATE,10,1311,1311,0,0,0,0,0,0,0,0,0,0
armor/fau.obj,BAKE_CANDIDATE,9,1276,1276,0,0,0,0,0,0,0,0,0,0
armor/goggles.obj,BAKE_CANDIDATE,1,492,492,0,0,0,0,0,0,0,0,0,0
armor/hat.obj,BAKE_CANDIDATE,1,38,38,0,0,0,0,0,0,0,0,0,0
armor/hev.obj,BAKE_CANDIDATE,8,686,686,0,0,0,0,0,0,0,0,0,0
armor/mod_tesla.obj,BAKE_CANDIDATE,1,234,234,0,0,0,0,0,0,0,0,0,0
armor/murk.obj,BAKE_CANDIDATE,4,272,272,0,0,0,0,0,0,0,0,0,0
armor/ncrpa.obj,BAKE_CANDIDATE,9,2001,2001,0,0,0,0,0,0,0,0,0,0
armor/no9.obj,NEEDS_RENDERER_REVIEW,3,247,247,0,0,0,0,13,0,0,0,0,0
armor/player_fem.obj,BAKE_CANDIDATE,6,166,166,0,0,0,0,0,0,0,0,0,0
armor/remnant.obj,BAKE_CANDIDATE,10,1370,1370,0,0,0,0,0,0,0,0,0,0
armor/steamsuit.obj,BAKE_CANDIDATE,8,2050,2050,0,0,0,0,0,0,0,0,0,0
armor/t51.obj,BAKE_CANDIDATE,8,1064,1064,0,0,0,0,0,0,0,0,0,0
armor/tail_peep.obj,BAKE_CANDIDATE,1,116,116,0,0,0,0,0,0,0,0,0,0
armor/taurun.obj,BAKE_CANDIDATE,8,616,616,0,0,0,0,0,0,0,0,0,0
armor/test.obj,BAKE_CANDIDATE,6,72,72,0,0,0,0,0,0,0,0,0,0
armor/trenchmaster.obj,BAKE_CANDIDATE,9,1222,1222,0,0,0,0,0,0,0,0,0,0
armor/wings_pheo.obj,BAKE_CANDIDATE,1,1110,1110,0,0,0,0,0,0,0,0,0,0
b29.obj,BAKE_CANDIDATE,1,1368,1368,0,0,0,0,0,0,0,0,0,0
blast_door_base.obj,BAKE_CANDIDATE,1,44,44,0,0,0,0,0,0,0,0,0,0
blast_door_block.obj,BAKE_CANDIDATE,1,34,34,0,0,0,0,0,0,0,0,0,0
blast_door_slider.obj,BAKE_CANDIDATE,1,8,8,0,0,0,0,0,0,0,0,0,0
blast_door_tooth.obj,BAKE_CANDIDATE,1,26,26,0,0,0,0,0,0,0,0,0,0
blocks/antenna_top.obj,BAKE_CANDIDATE,1,70,70,0,0,0,0,0,0,0,0,0,0
blocks/anvil.obj,BAKE_CANDIDATE,6,118,118,0,0,0,0,0,0,0,0,0,0
blocks/arrow.obj,BAKE_CANDIDATE,1,24,24,0,0,0,0,0,0,0,0,0,0
blocks/barbed_wire.obj,BAKE_CANDIDATE,1,184,184,0,0,0,0,0,0,0,0,0,0
blocks/barrel.obj,NEEDS_MATERIAL_REVIEW,2,22,22,0,0,1,0,0,0,0,0,0,0
blocks/battery.obj,BAKE_CANDIDATE,1,88,88,0,0,0,0,0,0,0,0,0,0
blocks/beam.obj,BAKE_CANDIDATE,1,12,12,0,0,0,0,0,0,0,0,0,0
blocks/cable_neo.obj,BAKE_CANDIDATE,10,260,260,0,0,0,0,0,0,0,0,0,0
blocks/capacitor.obj,BAKE_CANDIDATE,5,24,24,0,0,0,0,0,0,0,0,0,0
blocks/charge_c4.obj,BAKE_CANDIDATE,1,36,36,0,0,0,0,0,0,0,0,0,0
blocks/charge_dynamite.obj,BAKE_CANDIDATE,1,48,48,0,0,0,0,0,0,0,0,0,0
blocks/charger.obj,NEEDS_RENDERER_REVIEW,5,246,246,0,0,0,0,6,0,0,0,0,0
blocks/conservecrate.obj,BAKE_CANDIDATE,1,60,60,0,0,0,0,0,0,0,0,0,0
blocks/crane_buffer.obj,BAKE_CANDIDATE,6,28,28,0,0,0,0,0,0,0,0,0,0
blocks/crt.obj,BAKE_CANDIDATE,2,36,36,0,0,0,0,0,0,0,0,0,0
blocks/crystals_energy.obj,BAKE_CANDIDATE,1,176,176,0,0,0,0,0,0,0,0,0,0
blocks/crystals_power.obj,BAKE_CANDIDATE,1,288,288,0,0,0,0,0,0,0,0,0,0
blocks/crystals_robust.obj,BAKE_CANDIDATE,1,200,200,0,0,0,0,0,0,0,0,0,0
blocks/crystals_trixite.obj,BAKE_CANDIDATE,1,104,104,0,0,0,0,0,0,0,0,0,0
blocks/demon_lamp.obj,BAKE_CANDIDATE,1,552,552,0,0,0,0,0,0,0,0,0,0
blocks/difurnace_extension.obj,BAKE_CANDIDATE,3,20,20,0,0,0,0,0,0,0,0,0,0
blocks/floodlight.obj,BAKE_CANDIDATE,3,112,112,0,0,0,0,0,0,0,0,0,0
blocks/funnel.obj,BAKE_CANDIDATE,3,20,20,0,0,0,0,0,0,0,0,0,0
blocks/geiger_counter.obj,NEEDS_MATERIAL_REVIEW,1,228,228,0,0,1,0,0,0,0,0,0,0
blocks/pipe.obj,BAKE_CANDIDATE,2,32,32,0,0,0,0,0,0,0,0,0,0
blocks/pipe_frame.obj,BAKE_CANDIDATE,2,64,64,0,0,0,0,0,0,0,0,0,0
blocks/pipe_neo.obj,BAKE_CANDIDATE,14,164,164,0,0,0,0,0,0,0,0,0,0
blocks/pipe_quad.obj,BAKE_CANDIDATE,2,128,128,0,0,0,0,0,0,0,0,0,0
blocks/pipe_rim.obj,BAKE_CANDIDATE,2,80,80,0,0,0,0,0,0,0,0,0,0
blocks/pole.obj,BAKE_CANDIDATE,1,84,84,0,0,0,0,0,0,0,0,0,0
blocks/puter.obj,NEEDS_MATERIAL_REVIEW,1,96,96,0,0,1,0,0,0,0,0,0,0
blocks/rail_narrow.obj,BAKE_CANDIDATE,1,80,80,0,0,0,0,0,0,0,0,0,0
blocks/rail_narrow_bend.obj,BAKE_CANDIDATE,1,232,232,0,0,0,0,0,0,0,0,0,0
blocks/rail_standard.obj,BAKE_CANDIDATE,1,248,248,0,0,0,0,0,0,0,0,0,0
blocks/rail_standard_bend.obj,BAKE_CANDIDATE,1,312,312,0,0,0,0,0,0,0,0,0,0
blocks/rail_standard_bend_wide.obj,BAKE_CANDIDATE,1,440,440,0,0,0,0,0,0,0,0,0,0
blocks/rail_standard_bend_wide9.obj,BAKE_CANDIDATE,1,632,632,0,0,0,0,0,0,0,0,0,0
blocks/rail_standard_buffer.obj,BAKE_CANDIDATE,1,372,372,0,0,0,0,0,0,0,0,0,0
blocks/rail_standard_ramp.obj,BAKE_CANDIDATE,1,348,348,0,0,0,0,0,0,0,0,0,0
blocks/rail_standard_short.obj,BAKE_CANDIDATE,1,56,56,0,0,0,0,0,0,0,0,0,0
blocks/rail_standard_switch.obj,BAKE_CANDIDATE,3,1304,1304,0,0,0,0,0,0,0,0,0,0
blocks/rail_standard_switch_flipped.obj,BAKE_CANDIDATE,3,1304,1304,0,0,0,0,0,0,0,0,0,0
blocks/refueler.obj,BAKE_CANDIDATE,2,488,488,0,0,0,0,0,0,0,0,0,0
blocks/rtty.obj,BAKE_CANDIDATE,1,10,10,0,0,0,0,0,0,0,0,0,0
blocks/scaffold.obj,NEEDS_MATERIAL_REVIEW,1,192,192,0,0,1,0,0,0,0,0,0,0
blocks/skeleton_holder.obj,BAKE_CANDIDATE,1,96,96,0,0,0,0,0,0,0,0,0,0
blocks/spikes.obj,BAKE_CANDIDATE,1,96,96,0,0,0,0,0,0,0,0,0,0
blocks/splitter.obj,BAKE_CANDIDATE,11,32,32,0,0,0,0,0,0,0,0,0,0
blocks/taperecorder.obj,BAKE_CANDIDATE,1,60,60,0,0,0,0,0,0,0,0,0,0
blocks/toaster.obj,BAKE_CANDIDATE,1,62,62,0,0,0,0,0,0,0,0,0,0
bombletTheta.obj,BAKE_CANDIDATE,1,116,116,0,0,0,0,0,0,0,0,0,0
bombs/Prototype.obj,NEEDS_MATERIAL_REVIEW,1,488,488,0,0,1,0,0,0,0,0,0,0
bombs/ap_mine.obj,BAKE_CANDIDATE,1,260,260,0,0,0,0,0,0,0,0,0,0
bombs/dud_balefire.obj,BAKE_CANDIDATE,1,734,734,0,0,0,0,0,0,0,0,0,0
bombs/dud_conventional.obj,NEEDS_MATERIAL_REVIEW,1,306,306,0,0,1,0,0,0,0,0,0,0
bombs/dud_nuke.obj,NEEDS_MATERIAL_REVIEW,1,260,260,0,0,1,0,0,0,0,0,0,0
bombs/dud_salted.obj,NEEDS_MATERIAL_REVIEW,1,488,488,0,0,1,0,0,0,0,0,0,0
bombs/fat_man.obj,NEEDS_MATERIAL_REVIEW,1,1312,1312,0,0,1,0,0,0,0,0,0,0
bombs/fleija.obj,NEEDS_MATERIAL_REVIEW,1,780,780,0,0,1,0,0,0,0,0,0,0
bombs/fstbmb.obj,BAKE_CANDIDATE,2,674,674,0,0,0,0,0,0,0,0,0,0
bombs/gadget.obj,BAKE_CANDIDATE,2,3546,3546,0,0,0,0,0,0,0,0,0,0
bombs/ivymike.obj,NEEDS_MATERIAL_REVIEW,1,926,926,0,0,1,0,0,0,0,0,0,0
bombs/marelet.obj,BAKE_CANDIDATE,1,256,256,0,0,0,0,0,0,0,0,0,0
bombs/n2.obj,NEEDS_MATERIAL_REVIEW,6,386,386,0,0,1,0,0,0,0,0,0,0
bombs/naval_mine.obj,NEEDS_MATERIAL_REVIEW,1,3590,3590,0,0,1,0,0,0,0,0,0,0
bombs/tsar.obj,BAKE_CANDIDATE,1,3598,3598,0,0,0,0,0,0,0,0,0,0
bombs/ufp.obj,NEEDS_MATERIAL_REVIEW,1,454,454,0,0,1,0,0,0,0,0,0,0
boxcar.obj,BAKE_CANDIDATE,1,1414,1414,0,0,0,0,0,0,0,0,0,0
compact_launcher.obj,BAKE_CANDIDATE,1,124,124,0,0,0,0,0,0,0,0,0,0
core_emitter.obj,BAKE_CANDIDATE,1,434,434,0,0,0,0,0,0,0,0,0,0
core_injector.obj,BAKE_CANDIDATE,1,212,212,0,0,0,0,0,0,0,0,0,0
core_receiver.obj,BAKE_CANDIDATE,1,372,372,0,0,0,0,0,0,0,0,0,0
doors/silo_hatch.obj,BAKE_CANDIDATE,2,118,118,0,0,0,0,0,0,0,0,0,0
doors/silo_hatch_large.obj,BAKE_CANDIDATE,2,206,206,0,0,0,0,0,0,0,0,0,0
dornier.obj,BAKE_CANDIDATE,1,503,503,0,0,0,0,0,0,0,0,0,0
duchessgambit.obj,BAKE_CANDIDATE,1,494,494,0,0,0,0,0,0,0,0,0,0
effect/casings.obj,BAKE_CANDIDATE,6,358,358,0,0,0,0,0,0,0,0,0,0
effect/skeleton.obj,BAKE_CANDIDATE,4,84,84,0,0,0,0,0,0,0,0,0,0
epress_body.obj,BAKE_CANDIDATE,1,214,214,0,0,0,0,0,0,0,0,0,0
epress_head.obj,BAKE_CANDIDATE,1,44,44,0,0,0,0,0,0,0,0,0,0
file_cabinet.obj,BAKE_CANDIDATE,3,178,178,0,0,0,0,0,0,0,0,0,0
fluidtank.obj,NEEDS_MATERIAL_REVIEW,2,1392,1392,0,0,1,0,0,0,0,0,0,0
fluidtank_exploded.obj,BAKE_CANDIDATE,3,1642,1642,0,0,0,0,0,0,0,0,0,0
forcefield_top.obj,BAKE_CANDIDATE,1,244,244,0,0,0,0,0,0,0,0,0,0
fusion/boiler.obj,BAKE_CANDIDATE,1,572,572,0,0,0,0,0,0,0,0,0,0
fusion/breeder.obj,BAKE_CANDIDATE,2,1186,1186,0,0,0,0,0,0,0,0,0,0
fusion/collector.obj,BAKE_CANDIDATE,1,524,524,0,0,0,0,0,0,0,0,0,0
fusion/coupler.obj,BAKE_CANDIDATE,1,452,452,0,0,0,0,0,0,0,0,0,0
fusion/klystron.obj,BAKE_CANDIDATE,3,1316,1316,0,0,0,0,0,0,0,0,0,0
fusion/mhdt.obj,BAKE_CANDIDATE,2,706,706,0,0,0,0,0,0,0,0,0,0
fusion/plasma_forge.obj,BAKE_CANDIDATE,14,3640,3640,0,0,0,0,0,0,0,0,0,0
fusion/torus.obj,BAKE_CANDIDATE,7,6668,6668,0,0,0,0,0,0,0,0,0,0
launch_table/launch_table_base.obj,BAKE_CANDIDATE,1,38,38,0,0,0,0,0,0,0,0,0,0
launch_table/launch_table_large_pad.obj,BAKE_CANDIDATE,1,48,48,0,0,0,0,0,0,0,0,0,0
launch_table/launch_table_large_scaffold_base.obj,BAKE_CANDIDATE,1,110,110,0,0,0,0,0,0,0,0,0,0
launch_table/launch_table_large_scaffold_connector.obj,BAKE_CANDIDATE,1,174,174,0,0,0,0,0,0,0,0,0,0
launch_table/launch_table_large_scaffold_empty.obj,BAKE_CANDIDATE,1,56,56,0,0,0,0,0,0,0,0,0,0
launch_table/launch_table_small_pad.obj,BAKE_CANDIDATE,1,48,48,0,0,0,0,0,0,0,0,0,0
launch_table/launch_table_small_scaffold_base.obj,BAKE_CANDIDATE,1,110,110,0,0,0,0,0,0,0,0,0,0
launch_table/launch_table_small_scaffold_connector.obj,BAKE_CANDIDATE,1,174,174,0,0,0,0,0,0,0,0,0,0
launch_table/launch_table_small_scaffold_empty.obj,BAKE_CANDIDATE,1,56,56,0,0,0,0,0,0,0,0,0,0
launch_table/soyuz_launcher_legs.obj,BAKE_CANDIDATE,1,232,232,0,0,0,0,0,0,0,0,0,0
launch_table/soyuz_launcher_support.obj,BAKE_CANDIDATE,1,430,430,0,0,0,0,0,0,0,0,0,0
launch_table/soyuz_launcher_support_base.obj,BAKE_CANDIDATE,1,40,40,0,0,0,0,0,0,0,0,0,0
launch_table/soyuz_launcher_table.obj,BAKE_CANDIDATE,1,146,146,0,0,0,0,0,0,0,0,0,0
launch_table/soyuz_launcher_tower.obj,BAKE_CANDIDATE,1,1040,1040,0,0,0,0,0,0,0,0,0,0
launch_table/soyuz_launcher_tower_base.obj,BAKE_CANDIDATE,1,46,46,0,0,0,0,0,0,0,0,0,0
lights/cage_lamp.obj,NEEDS_MATERIAL_REVIEW,1,58,58,0,0,1,0,0,0,0,0,0,0
lights/flood_lamp.obj,BAKE_CANDIDATE,1,62,62,0,0,0,0,0,0,0,0,0,0
lights/fluorescent_lamp.obj,NEEDS_MATERIAL_REVIEW,3,120,120,0,0,1,0,0,0,0,0,0,0
machines/acidizer.obj,BAKE_CANDIDATE,3,1406,1406,0,0,0,0,0,0,0,0,0,0
machines/ammo_press.obj,BAKE_CANDIDATE,4,890,890,0,0,0,0,0,0,0,0,0,0
machines/annihilator.obj,BAKE_CANDIDATE,3,462,462,0,0,0,0,0,0,0,0,0,0
machines/arc_furnace.obj,BAKE_CANDIDATE,19,2108,2108,0,0,0,0,0,0,0,0,0,0
machines/arc_welder.obj,BAKE_CANDIDATE,1,434,434,0,0,0,0,0,0,0,0,0,0
machines/assembly_factory.obj,BAKE_CANDIDATE,24,2862,2862,0,0,0,0,0,0,0,0,0,0
machines/assembly_machine.obj,BAKE_CANDIDATE,12,1680,1680,0,0,0,0,0,0,0,0,0,0
machines/autosaw.obj,BAKE_CANDIDATE,7,488,488,0,0,0,0,0,0,0,0,0,0
machines/bat9000.obj,BAKE_CANDIDATE,1,556,556,0,0,0,0,0,0,0,0,0,0
machines/battery.obj,BAKE_CANDIDATE,4,412,412,0,0,0,0,0,0,0,0,0,0
machines/bigasstank.obj,BAKE_CANDIDATE,1,1082,1082,0,0,0,0,0,0,0,0,0,0
machines/boiler.obj,BAKE_CANDIDATE,1,682,682,0,0,0,0,0,0,0,0,0,0
machines/boiler_burst.obj,BAKE_CANDIDATE,1,387,387,0,0,0,0,0,0,0,0,0,0
machines/catalytic_cracker.obj,NEEDS_MATERIAL_REVIEW,1,2686,2686,0,0,1,0,0,0,0,0,0,0
machines/catalytic_reformer.obj,BAKE_CANDIDATE,1,1482,1482,0,0,0,0,0,0,0,0,0,0
machines/centrifuge.obj,BAKE_CANDIDATE,1,318,318,0,0,0,0,0,0,0,0,0,0
machines/chemical_factory.obj,NEEDS_RENDERER_REVIEW,5,8444,8444,0,0,0,0,4422,0,0,0,0,0
machines/chemical_plant.obj,BAKE_CANDIDATE,5,1800,1800,0,0,0,0,0,0,0,0,0,0
machines/chimney_brick.obj,BAKE_CANDIDATE,1,250,250,0,0,0,0,0,0,0,0,0,0
machines/chimney_industrial.obj,BAKE_CANDIDATE,1,474,474,0,0,0,0,0,0,0,0,0,0
machines/chungus.obj,BAKE_CANDIDATE,3,1284,1284,0,0,0,0,0,0,0,0,0,0
machines/coker.obj,BAKE_CANDIDATE,1,958,958,0,0,0,0,0,0,0,0,0,0
machines/combination_oven.obj,BAKE_CANDIDATE,1,92,92,0,0,0,0,0,0,0,0,0,0
machines/combustion_engine.obj,BAKE_CANDIDATE,3,5388,5388,0,0,0,0,0,0,0,0,0,0
machines/compressor.obj,BAKE_CANDIDATE,3,826,826,0,0,0,0,0,0,0,0,0,0
machines/condenser.obj,BAKE_CANDIDATE,3,2008,2008,0,0,0,0,0,0,0,0,0,0
machines/conveyor_press.obj,BAKE_CANDIDATE,3,346,346,0,0,0,0,0,0,0,0,0,0
machines/cracking_tower.obj,BAKE_CANDIDATE,1,1304,1304,0,0,0,0,0,0,0,0,0,0
machines/crucible.obj,BAKE_CANDIDATE,2,214,214,0,0,0,0,0,0,0,0,0,0
machines/crystallizer.obj,BAKE_CANDIDATE,3,1160,1160,0,0,0,0,0,0,0,0,0,0
machines/cyclotron.obj,BAKE_CANDIDATE,5,880,880,0,0,0,0,0,0,0,0,0,0
machines/deaerator.obj,BAKE_CANDIDATE,1,988,988,0,0,0,0,0,0,0,0,0,0
machines/derrick.obj,BAKE_CANDIDATE,1,890,890,0,0,0,0,0,0,0,0,0,0
machines/dieselgen.obj,BAKE_CANDIDATE,2,282,282,0,0,0,0,0,0,0,0,0,0
machines/drain.obj,BAKE_CANDIDATE,1,66,66,0,0,0,0,0,0,0,0,0,0
machines/drone.obj,BAKE_CANDIDATE,3,600,600,0,0,0,0,0,0,0,0,0,0
machines/drum.obj,BAKE_CANDIDATE,1,220,220,0,0,0,0,0,0,0,0,0,0
machines/electric_heater.obj,BAKE_CANDIDATE,1,394,394,0,0,0,0,0,0,0,0,0,0
machines/electrolyser.obj,NEEDS_MATERIAL_REVIEW,1,2524,2524,0,0,1,0,0,0,0,0,0,0
machines/elevator.obj,BAKE_CANDIDATE,4,204,204,0,0,0,0,0,0,0,0,0,0
machines/exposure_chamber.obj,BAKE_CANDIDATE,3,1448,1448,0,0,0,0,0,0,0,0,0,0
machines/fan.obj,BAKE_CANDIDATE,2,172,172,0,0,0,0,0,0,0,0,0,0
machines/fel.obj,BAKE_CANDIDATE,1,1760,1760,0,0,0,0,0,0,0,0,0,0
machines/fensu.obj,BAKE_CANDIDATE,3,612,612,0,0,0,0,0,0,0,0,0,0
machines/fensu2.obj,BAKE_CANDIDATE,4,2196,2196,0,0,0,0,0,0,0,0,0,0
machines/firebox.obj,BAKE_CANDIDATE,4,348,348,0,0,0,0,0,0,0,0,0,0
machines/flare_stack.obj,BAKE_CANDIDATE,1,2576,2576,0,0,0,0,0,0,0,0,0,0
machines/fracking_tower.obj,BAKE_CANDIDATE,1,914,914,0,0,0,0,0,0,0,0,0,0
machines/fraction_spacer.obj,BAKE_CANDIDATE,1,220,220,0,0,0,0,0,0,0,0,0,0
machines/fraction_tower.obj,BAKE_CANDIDATE,1,132,132,0,0,0,0,0,0,0,0,0,0
machines/furnace_iron.obj,BAKE_CANDIDATE,3,202,202,0,0,0,0,0,0,0,0,0,0
machines/furnace_steel.obj,BAKE_CANDIDATE,1,284,284,0,0,0,0,0,0,0,0,0,0
machines/gascent.obj,BAKE_CANDIDATE,2,850,850,0,0,0,0,0,0,0,0,0,0
machines/heatex.obj,NEEDS_MATERIAL_REVIEW,1,1352,1352,0,0,1,0,0,0,0,0,0,0
machines/heating_oven.obj,BAKE_CANDIDATE,4,230,230,0,0,0,0,0,0,0,0,0,0
machines/hephaestus.obj,BAKE_CANDIDATE,3,1524,1524,0,0,0,0,0,0,0,0,0,0
machines/hydrotreater.obj,BAKE_CANDIDATE,1,826,826,0,0,0,0,0,0,0,0,0,0
machines/igen.obj,BAKE_CANDIDATE,2,1614,1614,0,0,0,0,0,0,0,0,0,0
machines/industrial_boiler.obj,BAKE_CANDIDATE,1,1000,1000,0,0,0,0,0,0,0,0,0,0
machines/industrial_turbine.obj,BAKE_CANDIDATE,3,1069,1069,0,0,0,0,0,0,0,0,0,0
machines/intake.obj,BAKE_CANDIDATE,2,68,68,0,0,0,0,0,0,0,0,0,0
machines/liquefactor.obj,NEEDS_RENDERER_REVIEW,3,2404,2404,0,0,0,0,192,0,0,0,0,0
machines/lpw2.obj,BAKE_CANDIDATE,27,6044,6044,0,0,0,0,0,0,0,0,0,0
machines/machine_deuterium_tower.obj,NEEDS_MATERIAL_REVIEW,1,848,848,0,0,1,0,0,0,0,0,0,0
machines/microwave.obj,BAKE_CANDIDATE,3,569,569,0,0,0,0,0,0,0,0,0,0
machines/mining_drill.obj,BAKE_CANDIDATE,5,1796,1796,0,0,0,0,0,0,0,0,0,0
machines/mining_laser.obj,BAKE_CANDIDATE,3,296,296,0,0,0,0,0,0,0,0,0,0
machines/mixer.obj,BAKE_CANDIDATE,3,460,460,0,0,0,0,0,0,0,0,0,0
machines/oilburner.obj,BAKE_CANDIDATE,1,892,892,0,0,0,0,0,0,0,0,0,0
machines/oilburner_hp.obj,BAKE_CANDIDATE,1,1940,1940,0,0,0,0,0,0,0,0,0,0
machines/orbus.obj,NEEDS_MATERIAL_REVIEW,1,1208,1208,0,0,1,0,0,0,0,0,0,0
machines/ore_slopper.obj,BAKE_CANDIDATE,7,1550,1550,0,0,0,0,0,0,0,0,0,0
machines/piston_inserter.obj,NEEDS_MATERIAL_REVIEW,2,136,136,0,0,1,0,0,0,0,0,0,0
machines/pump.obj,BAKE_CANDIDATE,4,384,384,0,0,0,0,0,0,0,0,0,0
machines/pumpjack.obj,BAKE_CANDIDATE,4,1422,1422,0,0,0,0,0,0,0,0,0,0
machines/purex.obj,BAKE_CANDIDATE,4,3220,3220,0,0,0,0,0,0,0,0,0,0
machines/pyrooven.obj,BAKE_CANDIDATE,3,1188,1188,0,0,0,0,0,0,0,0,0,0
machines/radar.obj,BAKE_CANDIDATE,2,260,260,0,0,0,0,0,0,0,0,0,0
machines/radar_large.obj,BAKE_CANDIDATE,2,758,758,0,0,0,0,0,0,0,0,0,0
machines/radar_screen.obj,BAKE_CANDIDATE,1,44,44,0,0,0,0,0,0,0,0,0,0
machines/radgen.obj,NEEDS_RENDERER_REVIEW,4,2468,2468,0,0,0,0,64,0,0,0,0,0
machines/refinery_small.obj,NEEDS_MATERIAL_REVIEW,1,766,766,0,0,1,0,0,0,0,0,0,0
machines/rotary_furnace.obj,BAKE_CANDIDATE,3,1431,1431,0,0,0,0,0,0,0,0,0,0
machines/rtg.obj,BAKE_CANDIDATE,2,102,102,0,0,0,0,0,0,0,0,0,0
machines/sawmill.obj,BAKE_CANDIDATE,4,776,776,0,0,0,0,0,0,0,0,0,0
machines/shredder.obj,BAKE_CANDIDATE,3,1942,1942,0,0,0,0,0,0,0,0,0,0
machines/silex.obj,BAKE_CANDIDATE,1,986,986,0,0,0,0,0,0,0,0,0,0
machines/solar_boiler.obj,BAKE_CANDIDATE,4,572,572,0,0,0,0,0,0,0,0,0,0
machines/solar_mirror.obj,BAKE_CANDIDATE,2,62,62,0,0,0,0,0,0,0,0,0,0
machines/soldering_station.obj,BAKE_CANDIDATE,1,300,300,0,0,0,0,0,0,0,0,0,0
machines/solidifier.obj,NEEDS_RENDERER_REVIEW,3,624,624,0,0,0,0,58,0,0,0,0,0
machines/steam_engine.obj,BAKE_CANDIDATE,5,2294,2294,0,0,0,0,0,0,0,0,0,0
machines/steamhammer.obj,BAKE_CANDIDATE,5,864,864,0,0,0,0,0,0,0,0,0,0
machines/stirling.obj,BAKE_CANDIDATE,4,932,932,0,0,0,0,0,0,0,0,0,0
machines/strand_caster.obj,BAKE_CANDIDATE,2,394,394,0,0,0,0,0,0,0,0,0,0
machines/telex.obj,BAKE_CANDIDATE,1,130,130,0,0,0,0,0,0,0,0,0,0
machines/tower_large.obj,BAKE_CANDIDATE,1,380,380,0,0,0,0,0,0,0,0,0,0
machines/tower_small.obj,BAKE_CANDIDATE,1,922,922,0,0,0,0,0,0,0,0,0,0
machines/turbine.obj,BAKE_CANDIDATE,3,280,280,0,0,0,0,0,0,0,0,0,0
machines/turbinegas.obj,BAKE_CANDIDATE,1,3634,3634,0,0,0,0,0,0,0,0,0,0
machines/turbofan.obj,BAKE_CANDIDATE,3,2876,2876,0,0,0,0,0,0,0,0,0,0
machines/uv_lamp.obj,BAKE_CANDIDATE,3,82,82,0,0,0,0,0,0,0,0,0,0
machines/vacuum_distill.obj,BAKE_CANDIDATE,1,1998,1998,0,0,0,0,0,0,0,0,0,0
